k,datasets_passing,datasets_total,mean_correct_minus_matched,mean_correct_minus_random,mean_retrieval_top1,mean_ridge_explained_variance,mean_primary_rank
-1,8,8,0.03560740826651454,0.039540741359815,0.336669921875,-0.23933034390211105,4.875
0,8,8,0.08356406283564866,0.09874354721978307,0.4901123046875,-0.19709261506795883,1
1,8,8,0.05539081688039005,0.06561107910238206,0.414794921875,-0.17804110050201416,2.0625
2,8,8,0.049772719386965036,0.05981050059199333,0.389892578125,-0.14459284394979477,3.3125
3,8,8,0.04690214991569519,0.05750374658964574,0.384765625,-0.1154976412653923,3.75
